Index,Title,Place_Tag,Relevant_Body2,Label
330,Months of housing supply elevated,VIC, Months of supply is elevated due to much lower transaction volumes and an elevated volume of stock for sale. In Melbourne there is currently 5.9 months of housing supply for sale. Although that figure has reduced slightly over recent weeks it is still currently higher than over the same,2
332,Months of housing supply elevated,WA," is lower than most other capital cities it is slightly higher than at the same time last year (3.7 months). The ongoing weak housing conditions in Perth whereby values and transaction volumes continue to fall and stock for sale mounts has led to further increases in months of supply. At 7.7 months of supply, supply is the highest it has been at this time of year, any year since 2012. 7.7",2
335,Months of housing supply elevated,NSW," a function of a lift in the amount of stock available for sale and the ongoing fall in transaction volumes. There is currently 4.1 months of housing stock available for sale in Sydney. Although that still may seem like quite a low supply of stock for sale, in comparison to the previous 7",0
338,"Monthly Housing Market Update, May 2019 Release",VIC," city updates for Darwin, Canberra and Hobart are available in the national housing market update below. National Update Sydney, NSW Melbourne, VIC Adelaide, SA Brisbane, QLD Perth,",0
339,"Auction volumes more than doubled week-on-week with 2,041 homes taken to auction across the combined capitals",QLD," Looking at the smaller auction markets, auction volumes increased week-on-week across all capital cities. Preliminary results show that clearance rates were down slightly over the week in Brisbane, while all other cities saw an increase week-on-week. Weekend Market Summary All data to week ending 26 May 2019 Sub-region auction",2
340,"Auction volumes more than doubled week-on-week with 2,041 homes taken to auction across the combined capitals",VIC," results roll in. Over the same week last year the final clearance rate was recorded at 56.2 per cent. In Melbourne, a preliminary auction clearance rate of 62.9 per cent was recorded across 971 auctions this week, while last week there were 432 auctions returning a final clearance rate of 60.7 per cent. This time last year, 1,132 auctions were held across the city, returning a clearance rate of 59.0 per cent.",0
341,"Auction volumes more than doubled week-on-week with 2,041 homes taken to auction across the combined capitals",NSW," This time last year, 1,132 auctions were held across the city, returning a clearance rate of 59.0 per cent. There were 697 auctions held in Sydney this week returning a preliminary clearance rate of 69.9 per cent. In comparison, there were just 276 auctions held over the previous week returning a final clearance rate of",0
344,58.1 per cent preliminary clearance rate with fewer homes auctioned week-on-week,VIC," points higher than late last year, it reflects a better fit between buyer and seller expectations on prices. In Melbourne, Australiaâ€™s largest auction market, a preliminary auction clearance rate of 56.8 per cent was recorded across 545 auctions this week, up slightly from the 56.6 per cent final clearance rate last week when a higher 672 homes were auctioned. One year ago, the clearance rate was a stronger 77.5 per cent across 1,099 auctions. Weekly Clearance Rate,",0
345,58.1 per cent preliminary clearance rate with fewer homes auctioned week-on-week,NSW," homes were auctioned. One year ago, the clearance rate was a stronger 77.5 per cent across 1,099 auctions. Weekly Clearance Rate, Combined Capital Cities There were 441 auctions held in Sydney this week returning a preliminary auction clearance rate of 65.6 per cent; the strongest preliminary result across the capital cities, compared to 57.2 per cent across 539 last week, and 57.5 per cent across 787 auctions one year ago. Across the smaller auction markets, preliminary results show that Perth was the best performing in terms of",1
351,Top sales in your state last week,SA,"Top 2 Sales in your state as reported last week All data to week ending 5 May 2019 Australian Capital Territory 13 Favenc Circle, Griffith, ACT 6 bed, 4 bath, 3 car house $1,800,000 Luton Properties Manuka 9 Hopetoun Circuit, Deakin, ACT 4 bed, 2 bath, 2 car house $1,280,000 Peter Blackshaw Manuka New South Wales 28 Florida Road, Palm Beach, NSW 4 bed, 2 bath, 2 car house $5,250,000 Ray White Prestige Palm Beach 7 Imhoff Place, Kenthurst, NSW 5 bed, 3 bath, 6 car house $3,700,000 Rance Property Kenthurst Northern Territory 11 McMinn Street, East Side, NT 4 bed, 2 bath, 1 car house $599,000 LJ Hooker Alice Springs 70 Tasman Circuit, Wagaman, NT 3 bed, 1 bath, 2 car house $550,000 Elders Darwin Queensland 18 Ryan Street, West End, Qld 4 bed, 3 bath, 2 car house $1,880,000 Space Property Agents South Brisbane 5401/60 Ferry Road, West End, Qld 3 bed, 2 bath, 2 car unit $1,540,000 McGrath Estate Agents South Australia 94 Esplanade, Port Noarlunga, SA 3 bed, 2 bath, 4 car house $1,300,000 Ray White Unley 24 Wycombe Road, Aldgate, SA 4 bed, 2 bath, 2 car house $1,285,000 Harris Real Estate Tasmania 2 Folder Street, Sandy Bay, Tas 4 bed, 3 bath, 2 car house $1,360,000 Knight Frank Tasmania 116 Begonia Street, Lindisfarne, Tas 4 bed, 1 car, 2 bath house $950,000 Petrusma Property, Lindisfarne Victoria 38 Homestead Road, Wonga Park, Vic 5 bed, 4 bath, 8 car house $3,500,000 Jellis Craig Doncaster 114 Carrington Road, Box Hill, Vic 5 bed, 4 bath, 2 car house $3,500,000 Buxton Box Hill Western Australia 36 Marine Terrace, Fremantle, WA 3 bed, 2 bath, 2 car house $1,060,000 Riverside Real Estate Mosman Park 60 Carmargue Drive, Brigadoon, WA 4 bed, 2 bath, 2 car house $987,500 Harcourts Phoenix",0
355,"Just under 1,500 homes were taken to auction across the combined capital cities",VIC," results are collected, the final clearance rate will most likely revise down to the low 50 per cent range. In Melbourne, 678 homes were taken to auction this week, increasing from 498 over the previous week. This week last year saw 1,144 homes taken to auction across the city. The preliminary auction clearance rate",0
358,Australiaâ€™s Dwelling Values Fall Half A Percent In April As Rate Of Decline Continues To Ease,ACT," the fact that auction clearance rates are holding around the mid-50% range across the major auction markets. Tim Lawless said, â€œWhile none of these indicators could be described as strong, the current trend in the data implies that housing market conditions may have moved through the worst of the downturn.â€ In April, dwelling values fell across every capital city apart from Canberra, while regional areas of Tasmania, Victoria and South Australia also avoided a fall. The broad-based nature of lower housing values highlights that while the rate of decline has eased, the",1
361,Australiaâ€™s Dwelling Values Fall Half A Percent In April As Rate Of Decline Continues To Ease,TAS," that while the rate of decline has eased, the geographic scope of lower dwelling values remains broad. Values were down by -0.9% in Hobart, signaling a weakening across what has been one of the strongest capital city markets for value gains and leaving Canberra as the only capital city where dwelling values were up over the month. Annually, national dwelling values were down -7.2%; the largest annual fall since the twelve months ending",2
363,Australiaâ€™s Dwelling Values Fall Half A Percent In April As Rate Of Decline Continues To Ease,VIC," since moving through a monthly low point in December last year when national dwelling values fell -1.1%. According to CoreLogic head of research Tim Lawless, â€œThe improvement in the rate of decline is attributable to an easing in the market downturn across Sydney and Melbourne where values were previously falling much faster. In December last year, Sydney dwelling values were down -1.8%, with the pace of month-on-month falls",2
366,Australiaâ€™s Dwelling Values Fall Half A Percent In April As Rate Of Decline Continues To Ease,NSW," since moving through a monthly low point in December last year when national dwelling values fell -1.1%. According to CoreLogic head of research Tim Lawless, â€œThe improvement in the rate of decline is attributable to an easing in the market downturn across Sydney and Melbourne where values were previously falling much faster. In December last year, Sydney dwelling values were down -1.8%, with the pace of month-on-month falls",2
376,Preliminary clearance rate and auction volumes rise coming out of the Easter period slowdown,ACT," 46.3 per cent final auction clearance rate last week when a lower 221 auctions were held across the city. All of the remaining auction markets saw an increase in auction activity this week with the exception of Canberra where volumes were lower. The performance however was varied, with Adelaide recording the highest success rate of 54.8 per cent, while",2
377,Preliminary clearance rate and auction volumes rise coming out of the Easter period slowdown,VIC," houses sold at auction this week, which was higher than units which returned a 49.6 per cent clearance rate. Across Australiaâ€™s two largest cities, there were 497 Melbourne homes taken to auction this week, increasing on the 50 homes auctioned last week, however the higher volumes saw the preliminary clearance rate drop to 55.7 per cent, after last weekâ€™s 63.2 per cent final clearance rate. In Sydney, 329 auctions were held this week returning a 57.1 per cent preliminary clearance rate, improving",1
378,Preliminary clearance rate and auction volumes rise coming out of the Easter period slowdown,WA," saw an increase in auction activity this week with the exception of Canberra where volumes were lower. The performance however was varied, with Adelaide recording the highest success rate of 54.8 per cent, while only 20 per cent of auctions cleared in Perth. Weekend Market Summary All data to week ending 28 April 2019 Sub-region auction",2
379,Preliminary clearance rate and auction volumes rise coming out of the Easter period slowdown,NSW," the preliminary clearance rate drop to 55.7 per cent, after last weekâ€™s 63.2 per cent final clearance rate. In Sydney, 329 auctions were held this week returning a 57.1 per cent preliminary clearance rate, improving on the 46.3 per cent final auction clearance rate last week when a lower 221 auctions were held across the city. All of the remaining auction markets saw an increase in auction activity this week with the exception of",0
388,Auction clearance rates hold above 50% as activity surges in the lead up to Easter,VIC," week (52.6 per cent), while this week last year the clearance rate was recorded at 61.7 per cent. In Melbourne, 939 homes were taken to auction this week, increasing from both the previous week (892) and this week last year (873). In comparison, the week prior to Easter 2018 saw 2,071 homes taken to auction across the city. The",0
389,Auction clearance rates hold above 50% as activity surges in the lead up to Easter,NSW," per cent this week, down from 55.4 per cent over the previous week and 62.4 per cent this time last year. Sydney was host to 927 auctions this week with preliminary results returning a 62.9 per cent clearance rate across 577 results. Over the previous week, 742 auctions were held across the city and a final clearance rate of 54.9 per cent",0
391,"Monthly Housing Market Update, April 2019 Release",VIC," city updates for Darwin, Canberra and Hobart are available in the national housing market update below. National Update Sydney, NSW Melbourne, VIC Adelaide, SA Brisbane, QLD Perth,",0
403,The first week of April sees a lower volume of auctions held across the combined capital cities,ACT," results are collected. One year ago, a clearance rate of 62.9 per cent was recorded across 795 auctions. Across the smaller auction markets, Canberra, Perth and Tasmania saw an increase in the number of homes taken to auction this week, while Adelaide and Brisbane saw lower volumes week-on-week. Weekend Market Summary All data to week ending 7 April 2019 Sub-region auction",1
404,The first week of April sees a lower volume of auctions held across the combined capital cities,VIC," year, auction volumes were slightly lower (1,839), however the clearance rate was stronger at 62.8 per cent. Melbourne was host to 899 auctions this week with preliminary results returning a 58.1 per cent clearance rate. Over the previous week, 978 auctions were held across the city with the final clearance rate coming in at",1
405,The first week of April sees a lower volume of auctions held across the combined capital cities,WA," results are collected. One year ago, a clearance rate of 62.9 per cent was recorded across 795 auctions. Across the smaller auction markets, Canberra, Perth and Tasmania saw an increase in the number of homes taken to auction this week, while Adelaide and Brisbane saw lower volumes week-on-week. Weekend Market Summary All data to week ending 7 April 2019 Sub-region auction",2
406,The first week of April sees a lower volume of auctions held across the combined capital cities,NSW," time last year, 723 homes were taken to auction and a final clearance rate of 68.2 per cent was recorded. In Sydney, 740 homes were taken to auction this week, down from 801 last week. The preliminary clearance rate came in at 61.9 per cent this week, increasing from 54.3 per cent last week",2
420,"Preliminary results show a clearance rate of 56.8 per cent across 2,155 auctions",VIC," the hammer across the combined capital cities, although the clearance rate was a stronger 64.8 per cent. In Melbourne, a preliminary auction clearance rate of 53.4 per cent was recorded across 991 auctions this week, down from 55.1 per cent across 814 auctions over the previous week. Last weekâ€™s clearance rate was the highest the city had seen since September 2018. Over the same week last",1
429,Top sales in your state last week,TAS,"Top 2 Sales in your state as reported last week All data to week ending 7 April 2019 Australian Capital Territory 3 Neilson Street, Garran, ACT 5 bed, 4 bath, 2 car house $1,860,000 Peter Blackshaw Manuka 21 Wynter Place, Hughes, ACT 4 bed, 3 bath, 2 car house $1,565,000 Luton Properties Weston Creek/Molonglo Valley New South Wales 67 Wallaroy Road, Woollahra, NSW 4 bed, 3 bath, 2 car house $5,650,000 The Agency Eastern Suburbs 4 Coolawin Road, Northbridge, NSW 4 bed, 4 bath, 2 car house $4,610,000 Richardson & Wrench Northbridge Northern Territory 187 Lind Road, Johnston, NT 4 bed, 2 bath, 2 car house $651,000 Real Estate Central Darwin City 132 Kurrajong Drive, East Side, NT 4 bed, 3 bath, 2 car house $625,000 Professionals Alice Springs Queensland 45 Tristania Road, Chapel Hill, Qld 5 bed, 4 bath, 4 car house $2,900,000 Adcock Prestige Brisbane 15 Scenic Road, Kenmore, Qld 6 bed, 3 bath, 2 car house $2,200,000 Harcourts Calamvale South Australia 309 Gilles Street, Adelaide, SA 3 bed, 1 bath, 2 car house $1,200,000 Fox Real Estate Adelaide 80 Cumberland Avenue, Cumberland Park, SA 4 bed, 2 bath, 1 car house $1,100,000 Toop & Toop Real Estate Tasmania 8 Denmark Close, Taroona, Tas 4 bed, 2 bath, 1 car house $746,000 Petrusma Property Sandy Bay 35a Wentworth Street, South Hobart, Tas 3 bed, 2 car, 2 bath house $716,500 Knight Frank Tasmania Victoria 26 Everton Grove, Surrey Hills, Vic 5 bed, 5 bath, 2 car house $2,690,000 Ray White Balwyn 90 David Street, Hampton, Vic 5 bed, 4 bath, 2 car house $2,540,000 Marshall White Real Estate Western Australia 130 Alderbury Street, Floreat, WA 4 bed, 4 bath, 8 car house $3,207,000 Airey Real Estate Claremont 4 Edward Street, Cottesloe, WA 3 bed, 2 bath, 2 car house $2,300,000 Mint Real Estate",0
431,Lower auction volumes across the combined capital cities week-on-week,VIC," will be no different. Over the same week last year the final clearance rate was recorded at 62.7 per cent. In Melbourne, a preliminary auction clearance rate of 57.0 per cent was recorded across 820 auctions this week, while last week there were 920 auctions returning a final clearance rate of 52.1 per cent. This time last year, 2,071 auctions were held across the city, returning a clearance rate of 65.8 per cent.",0
432,Lower auction volumes across the combined capital cities week-on-week,NSW," This time last year, 2,071 auctions were held across the city, returning a clearance rate of 65.8 per cent. Weekly Clearance Rate, Combined Capital Cities There were 506 auctions held in Sydney this week returning a preliminary clearance rate of 62.2 per cent although again this will revise down over the week as more results are collected. In comparison, there were 638 auctions held over the previous week and the final auction clearance rate was",0
433,Give me land lots of land,NSW," broader capital cities. In Sydney, house values have fallen by -11.5% over the 12 months to February 2019. Looking at the five suburbs listed, only Kenthurst has recorded a weaker annual change. Melbourne house values are also -11.5% lower over the past year and all of the suburbs listed have seen more",2
434,Give me land lots of land,VIC," to February 2019. Looking at the five suburbs listed, only Kenthurst has recorded a weaker annual change. Melbourne house values are also -11.5% lower over the past year and all of the suburbs listed have seen more moderate value falls than that across Greater Melbourne. Brisbane house values were -0.4% lower over the past year and two of the five suburbs have seen a stronger",2
444,"Auction activity significantly lower year-on-year with 1,894 homes taken to auction across the combined capitals",NSW," auction clearance rate was higher with 68.7 per cent of the 1,653 auctions returning a successful result. There were 634 auctions held in Sydney this week with preliminary results showing a 63.1 per cent clearance rate, up from 52.3 per cent across a higher volume of auctions last week (701), although as usual this will revise lower as final results are collected. Over the same week last year 1,093 homes were taken to auction across the city returning a clearance rate of",1
459,"Monthly Housing Market Update, March 2019 Release",VIC," city updates for Darwin, Canberra and Hobart are available in the national housing market update below. National Update Sydney, NSW Melbourne, VIC Adelaide, SA Brisbane, QLD Perth,",0
467,"Quiet week for the capital city auction markets with only 1,196 homes auctioned",SA," auction clearance rate across 215 auctions and Sydney saw 58.2 per cent of the 702 auctions held successful. Across the smaller auction markets, the highest clearance rate was in Adelaide where 55.3 per cent of auctions cleared over the week. Weekly Clearance Rate, Combined Capital Cities Looking at results by property type, units outperformed",1
468,"Quiet week for the capital city auction markets with only 1,196 homes auctioned",VIC," 50.4 per cent last week. Over the same week last year, the clearance rate was recorded at 63.3 per cent. The two largest auction markets, Melbourne and Sydney, saw their preliminary clearance rates rise, however volumes were lower week on week. Melbourne returned a 53.5 per cent preliminary auction clearance rate across 215 auctions and Sydney saw",1
470,"Quiet week for the capital city auction markets with only 1,196 homes auctioned",NSW," 50.4 per cent last week. Over the same week last year, the clearance rate was recorded at 63.3 per cent. The two largest auction markets, Melbourne and Sydney, saw their preliminary clearance rates rise, however volumes were lower week on week. Melbourne returned a 53.5 per cent preliminary auction clearance rate across 215 auctions and Sydney saw",1
493,"Auction volumes across the combined capital cities rise above 2,000 for the first time this year",VIC," are soft, itâ€™s possible a similar weakening trend in auction markets will become evident next month. There were 1,144 auctions held in Melbourne this week with preliminary results showing a clearance rate of 53.1 per cent, increasing from last week when the final clearance rate was recorded at 52.5 per cent across 657 auctions. Over the same week last year, the auction clearance rate was significantly higher with 70.6 per cent of the",1
494,"Auction volumes across the combined capital cities rise above 2,000 for the first time this year",TAS," last year 1,259 homes were taken to auction across the city returning a clearance rate of 65.1 per cent. Across the smaller auction markets, Brisbane and Canberra were the only cities to see a rise in clearance rates week-on-week, while auction volumes increased everywhere except Perth and Tasmania over the week. All data to week ending 24 February 2019 Sub-region auction",2
505,"Auction activity remains quieter year-on-year with 1,444 homes taken to auction across the combined capitals",NSW," rate was significantly higher with 69.8 per cent of the 932 auctions returning a successful result. Weekly Clearance Rate, Combined Capital Cities There were 521 auctions held in Sydney this week with preliminary results showing a 61.0 per cent clearance rate, up from 54.0 per cent across 322 auctions last week. Over the same week last year 737 homes were taken to auction across the city returning a clearance rate of",0
507,Fewer capital city homes taken to auction week-on-week and year-on-year,VIC," conditions remain challenging and year on year volumes will continue to trend lower throughout the year. In Melbourne, Australiaâ€™s largest auction market, a preliminary auction clearance rate of 54.9 per cent was recorded across 1,046 auctions this week, up from the 50.6 per cent final clearance rate last week when volumes were higher (1,128). There were 799 auctions held in Sydney this week returning a preliminary auction clearance rate of 61.3 per",1
508,Fewer capital city homes taken to auction week-on-week and year-on-year,NSW," this week, up from the 50.6 per cent final clearance rate last week when volumes were higher (1,128). There were 799 auctions held in Sydney this week returning a preliminary auction clearance rate of 61.3 per cent, increasing from the 50.1 per cent final clearance rate last week when 801 Sydney homes were taken to auction. Weekly Clearance Rate, Combined Capital Cities Across the smaller auction markets, preliminary results show",1
509,"Monthly Housing Market Update, February 2019 Release",VIC," city updates for Darwin, Canberra and Hobart are available in the national housing market update below. National Update Sydney, NSW Melbourne, VIC Adelaide, SA Brisbane, QLD Perth,",0
510,"Capital city auction volumes rise over the week, although remain lower than one year ago",NSW," were seeing last year, when 70.7 per cent of homes sold over the same week when volumes were higher (619). Weekly Clearance Rate, Combined Capital Cities There were 321 Sydney homes auctioned this week, returning a preliminary auction clearance rate of 59.2 per cent. Interestingly, Sydney was the best performing capital city auction market according to final results last",1
538,Record breaking low for Australiaâ€™s annual change in rents,SA," (which is $43/week more expensive than the second most expensive in the country of Canberra at $539/week). Hobart has historically been the most affordable capital city rental market, however strong rises in rents over recent years have pushed rental costs well above those in Adelaide and Perth and are actually now marginally higher than rents in Brisbane. Key highlights : Australiaâ€™s weekly rents fell by -0.1% in December 2018 to be -0.3% lower over the fourth",1
540,Record breaking low for Australiaâ€™s annual change in rents,QLD," a substantial ramp-up in new housing supply (largely apartment), much of which was purchased by investors. Darwin rents have been falling for many years and they continue to decline.â€ Rental markets are on the up in Brisbane and Perth, after a number of years in decline. Rents are also continuing to rise elsewhere; however the rate of growth has slowed compared to a year ago.",1
543,Record breaking low for Australiaâ€™s annual change in rents,ACT," Review has just been released, providing an update on rental market conditions through to December 2018. The report found a mixed situation, with rents falling in Sydney, Darwin and Canberra, a fairly significant slowdown in rental growth for Melbourne, but growth elsewhere. CoreLogic research analyst Cameron Kusher said, â€œSydney and Melbourne are both seeing the impact of",2
545,Record breaking low for Australiaâ€™s annual change in rents,VIC," Review has just been released, providing an update on rental market conditions through to December 2018. The report found a mixed situation, with rents falling in Sydney, Darwin and Canberra, a fairly significant slowdown in rental growth for Melbourne, but growth elsewhere. CoreLogic research analyst Cameron Kusher said, â€œSydney and Melbourne are both seeing the impact of",2
547,Record breaking low for Australiaâ€™s annual change in rents,WA," a substantial ramp-up in new housing supply (largely apartment), much of which was purchased by investors. Darwin rents have been falling for many years and they continue to decline.â€ Rental markets are on the up in Brisbane and Perth, after a number of years in decline. Rents are also continuing to rise elsewhere; however the rate of growth has slowed compared to a year ago.",2
550,Record breaking low for Australiaâ€™s annual change in rents,NSW," Review has just been released, providing an update on rental market conditions through to December 2018. The report found a mixed situation, with rents falling in Sydney, Darwin and Canberra, a fairly significant slowdown in rental growth for Melbourne, but growth elsewhere. CoreLogic research analyst Cameron Kusher said, â€œSydney and Melbourne are both seeing the impact of",2
570,Subdued start to 2019 with 526 capital city homes taken to auction coming out of the seasonal slowdown,VIC," capital cities, Sydney returned the strongest clearance rate of 53.7 per cent across 129 auctions. However it was Melbourne which saw the highest number of homes auctioned, with 156 held, returning a preliminary clearance rate of 44.1 per cent. Adelaide was the second best performing auction market this week, according to preliminary results. There",1
571,Subdued start to 2019 with 526 capital city homes taken to auction coming out of the seasonal slowdown,NSW," over the next few weeks we will be able to get a firmer perspective on auction conditions for 2019. Looking at results across the individual capital cities, Sydney returned the strongest clearance rate of 53.7 per cent across 129 auctions. However it was Melbourne which saw the highest number of homes auctioned, with 156 held, returning a",1
572,"Monthly Housing Market Update, December 2018 Release",VIC," city updates for Darwin, Canberra and Hobart are available in the national housing market update below. National Update Sydney, NSW Melbourne, VIC Adelaide, SA Brisbane, QLD Perth,",0
579,Auction Market Preview 16 December 18,VIC," and Canberra, while Adelaide, Perth and Tasmania are expected to see a higher number of auctions take place. This week, the busiest suburb for auctions is in Victoria where Bentleigh East has 20 homes scheduled for auction. Followed by Craigieburn also in Victoria with 17 scheduled auctions, while St Ives (NSW) and Bentleigh (Vic)",1
580,Auction Market Preview 16 December 18,QLD," down from 870 last week and lower than the same week last year when 708 auctions were held across the city. Across the smaller auction markets, the number of homes scheduled for auction this week are lower in Brisbane and Canberra, while Adelaide, Perth and Tasmania are expected to see a higher number of auctions take place. This week, the busiest suburb for auctions is in Victoria where Bentleigh East has 20 homes scheduled for",2
582,Auction Market Preview 16 December 18,ACT," down from 870 last week and lower than the same week last year when 708 auctions were held across the city. Across the smaller auction markets, the number of homes scheduled for auction this week are lower in Brisbane and Canberra, while Adelaide, Perth and Tasmania are expected to see a higher number of auctions take place. This week, the busiest suburb for auctions is in Victoria where Bentleigh East has 20 homes scheduled for",2
587,Auction Market Preview 16 December 18,WA," down from 870 last week and lower than the same week last year when 708 auctions were held across the city. Across the smaller auction markets, the number of homes scheduled for auction this week are lower in Brisbane and Canberra, while Adelaide, Perth and Tasmania are expected to see a higher number of auctions take place. This week, the busiest suburb for auctions is in Victoria where Bentleigh East has 20 homes scheduled for",1
588,Auction Market Preview 16 December 18,NSW," auctions were held across the city and much lower than 12 months ago when 1,630 homes went under the hammer. In Sydney, 695 homes are currently scheduled for auction this week, down from 870 last week and lower than the same week last year when 708 auctions were held across the city. Across the smaller auction markets, the number of homes scheduled for auction this week are lower in",2
603,"Week-on-week results show auction volumes remain steady, while the preliminary auction clearance rate rises",VIC," per cent of units selling at auction, while 46.1 per cent of houses sold across the combined capital cities. In Melbourne, a preliminary auction clearance rate of 45.8 per cent was recorded across 1,381 auctions this week. Last week there were 1,132 auctions returning a final clearance rate of 41.4 per cent. Over the same week",0
605,"Week-on-week results show auction volumes remain steady, while the preliminary auction clearance rate rises",NSW," last year, 1,647 Melbourne homes were taken to auction with 65.4 per cent returning a successful result. There were 927 auctions held in Sydney this week returning a preliminary clearance rate of 50.6 per cent. In comparison, there were 1,035 auctions held over the previous week and the final auction clearance rate",0
616,"Auction activity quieter year-on-year with 2,689 homes taken to auction across the combined capitals",WA," last year 1,215 homes were taken to auction across the city returning a clearance rate of 56.8 per cent. Across the smaller auction markets, Perth and Tasmania were the only places to see auction volumes fall",2
617,"Auction activity quieter year-on-year with 2,689 homes taken to auction across the combined capitals",NSW," rate was significantly higher with 65.5 per cent of the 1,736 auctions returning a successful result. There were 1,021 auctions held in Sydney this week making it the 5th busiest week of the year for the city with preliminary results showing a 52.4 per cent clearance rate, up from 42.8 per cent across 875 auctions last week. Itâ€™s possible that when the final results are released the clearance rate may just hold above 45 per cent,",1
619,Auction Market Preview 9 December 18,SA," this week, down from 937 last week and lower than the same week last year when 1,007 auctions were held. Across the smaller auction markets, Brisbane is expected to be the only city to see a rise in volumes week-on-week, with fewer auctions scheduled in Adelaide, Canberra, Perth and Tasmania. The busiest suburb for auctions this week is Victoriaâ€™s Reservoir, with 26 homes set to go under the hammer.",2
621,Auction Market Preview 9 December 18,ACT," this week, down from 937 last week and lower than the same week last year when 1,007 auctions were held. Across the smaller auction markets, Brisbane is expected to be the only city to see a rise in volumes week-on-week, with fewer auctions scheduled in Adelaide, Canberra, Perth and Tasmania. The busiest suburb for auctions this week is Victoriaâ€™s Reservoir, with 26 homes set to go under the hammer.",2
623,Auction Market Preview 9 December 18,VIC," auctions, down from 2,749 last week and significantly lower than the 3,371 over the same week last year. Melbourne is set to see volumes fall over the week, with 1,205 auctions being tracked so far, down from last week when 1,378 auctions were held across the city and much lower than 12 months ago when 1,833 homes went under the hammer. In Sydney, 840 homes are currently scheduled for auction this week, down from 937 last week and lower than",2
626,Auction Market Preview 9 December 18,WA," this week, down from 937 last week and lower than the same week last year when 1,007 auctions were held. Across the smaller auction markets, Brisbane is expected to be the only city to see a rise in volumes week-on-week, with fewer auctions scheduled in Adelaide, Canberra, Perth and Tasmania. The busiest suburb for auctions this week is Victoriaâ€™s Reservoir, with 26 homes set to go under the hammer.",2
628,Auction Market Preview 9 December 18,NSW," auctions were held across the city and much lower than 12 months ago when 1,833 homes went under the hammer. In Sydney, 840 homes are currently scheduled for auction this week, down from 937 last week and lower than the same week last year when 1,007 auctions were held. Across the smaller auction markets, Brisbane is expected to be the only city to see a rise in volumes",2
630,Volumes rise over the week returning a preliminary clearance rate of 45.5 per cent across the combined capital cities,WA," collected. In comparison, one year ago, the clearance rate across the city was recorded at 54.8 per cent. Across the smaller auction markets, preliminary results show an improvement in clearance rates across Adelaide, Brisbane, Canberra and Perth. Tasmania has reported 4 auction results so far and are yet to have a successful",1
631,Volumes rise over the week returning a preliminary clearance rate of 45.5 per cent across the combined capital cities,NSW," rate was significantly higher with 66.9 per cent of the 1,732 auctions returning a successful result. There were 874 auctions held in Sydney this week, up from 844 last week, although lower than this week last year when 1,061 homes were taken to auction across the city. Preliminary results show that 48.5 per cent of auctions were successful this week, up from just 42.1 per",1
640,National Auction Market Preview- Week ending 18 November 2018,VIC," lower across each individual capital city. A total of 3,390 homes were taken to auction this time last year. All five of the busiest suburbs for auctions this week are in Melbourne with Reservoir coming in first place hosting 28 auctions, followed by Mount Waverley (21) and Glen Waverley (19), while Bentleigh East and Richmond are set to hold 17 auctions each this week. Summary of Last Weekâ€™s Results: Last week saw 2,386 homes taken to auction across the combined capital",1
641,National Auction Market Preview- Week ending 18 November 2018,QLD," sitting at similar levels week-on-week with 845 auctions currently on the radar, compared to 844 last week. Across the smaller auction markets, Adelaide will see fewer homes taken to auction week-on-week, while Brisbane, Perth and Tasmania will see auction activity increase. Canberra will see little change in auction volumes when compared to last week. Year-on-year auction volumes",1
643,National Auction Market Preview- Week ending 18 November 2018,ACT," homes taken to auction week-on-week, while Brisbane, Perth and Tasmania will see auction activity increase. Canberra will see little change in auction volumes when compared to last week. Year-on-year auction volumes are lower across each individual capital city. A total of 3,390 homes were",0
649,National Auction Market Preview- Week ending 18 November 2018,WA," sitting at similar levels week-on-week with 845 auctions currently on the radar, compared to 844 last week. Across the smaller auction markets, Adelaide will see fewer homes taken to auction week-on-week, while Brisbane, Perth and Tasmania will see auction activity increase. Canberra will see little change in auction volumes when compared to last week. Year-on-year auction volumes",1
652,National Auction Market Preview- Week ending 18 November 2018,NSW," this week with just over 1,300 homes scheduled to go under the hammer, increasing from 1,127 last week. Sydney volumes are sitting at similar levels week-on-week with 845 auctions currently on the radar, compared to 844 last week. Across the smaller auction markets, Adelaide will see fewer homes taken to auction week-on-week, while",0
654,"Monthly Housing Market Update, October 2018 Release",VIC," city updates for Darwin, Canberra and Hobart are available in the national housing market update below. National Update Sydney, NSW Melbourne, VIC Brisbane, QLD Perth, WA Adelaide,",0
656,National Auction Market Preview- Week ending 11 November 2018,VIC," markets, the number of homes scheduled for auction this week is lower than last week across all cities. This week, the busiest suburb for auctions is Mount Waverley in Victoria with 18 homes scheduled to go under the hammer, followed by Richmond (Vic) with 17, while Port Macquarie (NSW) and Bentleigh East (Vic) with each be host to 16 auctions. (The higher activity across Port Macquarie this week is due to the McGrath Port Macquarie Auction Event)",1
658,National Auction Market Preview- Week ending 11 November 2018,NSW," markets, the number of homes scheduled for auction this week is lower than last week across all cities. This week, the busiest suburb for auctions is Mount Waverley in Victoria with 18 homes scheduled to go under the hammer, followed by Richmond (Vic) with 17, while Port Macquarie (NSW) and Bentleigh East (Vic) with each be host to 16 auctions. (The higher activity across Port Macquarie this week is due to the McGrath Port Macquarie Auction Event)",1
